"DistrictCode","OverallMean","MathMean","ScienceMean","ReadMean","DistrictName"
10,3.30769230769231,3.26923076923077,3.30769230769231,3.46153846153846,"MAPLETON 1"
20,6.47222222222222,6.98611111111111,NA,6.05555555555556,"ADAMS 12 FIVE STAR SCHOOLS"
30,2.54545454545455,2.36363636363636,3.09090909090909,3.27272727272727,"ADAMS COUNTY 14"
40,6,6,5.53846153846154,6.03846153846154,"BRIGHTON 27J"
50,6.33333333333333,6.83333333333333,NA,6.33333333333333,"BENNETT 29J"
60,6,6,6,6,"STRASBURG 31J"
70,3.34782608695652,3.91304347826087,4.34782608695652,3,"WESTMINSTER 50"
100,NA,NA,NA,NA,"ALAMOSA RE-11J"
110,7,6.33333333333333,7.33333333333333,7,"SANGRE DE CRISTO RE-22J"
120,6,5.85714285714286,6,5.71428571428571,"ENGLEWOOD 1"
123,2.66666666666667,3,2,2.66666666666667,"SHERIDAN 2"
130,8.57575757575758,8.66666666666667,8.09090909090909,8.15151515151515,"CHERRY CREEK 5"
140,9.25,9.21428571428571,8.75,8.71428571428571,"LITTLETON 6"
170,7,6.66666666666667,7,7.33333333333333,"DEER TRAIL 26J"
180,3.98611111111111,4.16666666666667,NA,3.75,"ADAMS-ARAPAHOE 28J"
190,6.33333333333333,6,6,6.66666666666667,"BYERS 32J"
220,6.5,6.5,NA,6.25,"ARCHULETA COUNTY 50 JT"
230,7.66666666666667,8.66666666666667,7.33333333333333,7.66666666666667,"WALSH RE-1"
240,5,5,5,4.66666666666667,"PRITCHETT RE-3"
250,7,6.66666666666667,7.66666666666667,7,"SPRINGFIELD RE-4"
260,4.16666666666667,4,NA,4.5,"VILAS RE-5"
270,5.33333333333333,6.33333333333333,NA,6,"CAMPO RE-6"
290,6.33333333333333,5.33333333333333,3.66666666666667,6.66666666666667,"LAS ANIMAS RE-1"
310,6,7,5,6,"MC CLAVE RE-2"
470,NA,NA,NA,NA,"ST VRAIN VALLEY RE 1J"
480,NA,NA,NA,NA,"BOULDER VALLEY RE 2"
490,NA,NA,NA,NA,"BUENA VISTA R-31"
500,NA,NA,NA,NA,"SALIDA R-32"
510,7.33333333333333,7.33333333333333,6.33333333333333,7.66666666666667,"KIT CARSON R-1"
520,5.66666666666667,6.33333333333333,4,4.66666666666667,"CHEYENNE COUNTY RE-5"
540,8,7.6,8.6,7.8,"CLEAR CREEK RE-1"
550,8.25,8.25,7.75,7.5,"NORTH CONEJOS RE-1J"
560,6.66666666666667,7.66666666666667,7,6,"SANFORD 6J"
580,3.5,3,NA,3.75,"SOUTH CONEJOS RE-10"
640,2.375,1.25,1.375,3,"CENTENNIAL R-1"
740,5,5.33333333333333,5.66666666666667,4.66666666666667,"SIERRA GRANDE R-30"
770,5.66666666666667,6,6.33333333333333,6,"CROWLEY COUNTY RE-1-J"
860,7.33333333333333,7.66666666666667,7.33333333333333,7.66666666666667,"CUSTER COUNTY SCHOOL DISTRICT C-1"
870,NA,NA,NA,NA,"DELTA COUNTY 50(J)"
880,4.47894736842105,4.57894736842105,NA,4.18421052631579,"DENVER COUNTY 1"
890,NA,NA,NA,NA,"DOLORES COUNTY RE NO.2"
900,NA,NA,NA,NA,"DOUGLAS COUNTY RE 1"
910,NA,NA,NA,NA,"EAGLE COUNTY RE 50"
920,8,7.83333333333333,7.83333333333333,7.5,"ELIZABETH C-1"
930,7.66666666666667,7,7.33333333333333,8.66666666666667,"KIOWA C-2"
940,6.33333333333333,7,7.66666666666667,6,"BIG SANDY 100J"
950,8,6.66666666666667,9,8.33333333333333,"ELBERT 200"
960,NA,NA,NA,NA,"AGATE 300"
970,6.33333333333333,6.33333333333333,7.33333333333333,6.33333333333333,"CALHAN RJ-1"
980,6.3,6.5,NA,6.26666666666667,"HARRISON 2"
990,6,6.2,6,5.93333333333333,"WIDEFIELD 3"
1000,6.66666666666667,6.8,7.13333333333333,6.2,"FOUNTAIN 8"
1010,6.55,6.5625,NA,6.25,"COLORADO SPRINGS 11"
1020,11.5,10.75,10.875,11.375,"CHEYENNE MOUNTAIN 12"
1030,7.25,6.75,7.25,7.5,"MANITOU SPRINGS 14"
1040,NA,NA,NA,NA,"ACADEMY 20"
1050,5.66666666666667,6,5.66666666666667,5.33333333333333,"ELLICOTT 22"
1060,6.33333333333333,6.33333333333333,6,6,"PEYTON 23 JT"
1070,5,3.75,NA,5,"HANOVER 28"
1080,10.75,10.0833333333333,10.1666666666667,10,"LEWIS-PALMER 38"
1110,7.17857142857143,7.25,7,7.03571428571429,"FALCON 49"
1120,NA,NA,NA,NA,"EDISON 54 JT"
1130,5.66666666666667,5.66666666666667,NA,5.66666666666667,"MIAMI/YODER 60 JT"
1140,NA,NA,NA,NA,"CANON CITY RE-1"
1150,NA,NA,NA,NA,"FREMONT RE-2"
1160,7,6.33333333333333,NA,6.66666666666667,"COTOPAXI RE-3"
1180,6.26666666666667,6.26666666666667,NA,6,"ROARING FORK RE-1"
1195,6.28571428571429,6.42857142857143,NA,5.71428571428571,"GARFIELD RE-2"
1220,5.33333333333333,5,NA,5.33333333333333,"GARFIELD 16"
1330,6.66666666666667,6.66666666666667,8,6.66666666666667,"GILPIN COUNTY RE-1"
1340,7.66666666666667,7,8.33333333333333,7.33333333333333,"WEST GRAND 1-JT."
1350,6.83333333333333,6.16666666666667,NA,7.16666666666667,"EAST GRAND 2"
1360,9.125,9.375,NA,8.5,"GUNNISON WATERSHED RE1J"
1380,11,11.3333333333333,NA,11.3333333333333,"HINSDALE COUNTY RE 1"
1390,5.6,4.8,NA,5.8,"HUERFANO RE-1"
1400,7,7,8.33333333333333,7,"LA VETA RE-2"
1410,8.33333333333333,8,10.3333333333333,7.33333333333333,"NORTH PARK R-1"
1420,7.73684210526316,7.36842105263158,NA,7.81286549707602,"JEFFERSON COUNTY R-1"
1430,7.66666666666667,8,NA,7.33333333333333,"EADS RE-1"
1440,5.66666666666667,6.66666666666667,NA,5,"PLAINVIEW RE-2"
1450,7,7,6.33333333333333,7,"ARRIBA-FLAGLER C-20"
1460,6,6.66666666666667,5.33333333333333,6,"HI-PLAINS R-23"
1480,6,6.75,5.5,5,"STRATTON R-4"
1490,4,5.33333333333333,3.33333333333333,4,"BETHUNE R-5"
1500,5.2,5.6,NA,5.2,"BURLINGTON RE-6J"
1510,4.25,4.75,NA,3.5,"LAKE COUNTY R-1"
1520,8,7.9,8.1,7.5,"DURANGO 9-R"
1530,7.33333333333333,6.66666666666667,7.33333333333333,7.66666666666667,"BAYFIELD 10 JT-R"
1540,4,3.75,NA,4,"IGNACIO 11 JT"
1550,8.56896551724138,8.25862068965517,NA,8.3448275862069,"POUDRE R-1"
1560,NA,NA,NA,NA,"THOMPSON R2-J"
1570,7,7,9,6.33333333333333,"PARK (ESTES PARK) R-3"
1580,5.33333333333333,5.33333333333333,5.33333333333333,5.33333333333333,"TRINIDAD 1"
1590,5.66666666666667,5.33333333333333,NA,6,"PRIMERO REORGANIZED 2"
1600,6.66666666666667,6.66666666666667,7.66666666666667,6.66666666666667,"HOEHNE REORGANIZED 3"
1620,2.33333333333333,2.33333333333333,NA,2.33333333333333,"AGUILAR REORGANIZED 6"
1750,NA,NA,NA,NA,"BRANSON REORGANIZED 82"
1760,7.33333333333333,7,NA,6.66666666666667,"KIM REORGANIZED 88"
1780,5,6,NA,4.33333333333333,"GENOA-HUGO C113"
1790,8.75,8,7.75,7.75,"LIMON RE-4J"
1810,4.16666666666667,3.5,NA,5.16666666666667,"KARVAL RE-23"
1828,6.375,6.125,7.375,6.25,"VALLEY RE-1"
1850,8,7.33333333333333,7,9,"FRENCHMAN RE-3"
1860,7.66666666666667,7.33333333333333,6.33333333333333,6.33333333333333,"BUFFALO RE-4J"
1870,10.3333333333333,10,9.66666666666667,10.3333333333333,"PLATEAU RE-5"
1980,6,5.66666666666667,5,6.33333333333333,"DE BEQUE 49JT"
1990,6.33333333333333,6,6,7,"PLATEAU VALLEY 50"
2000,NA,NA,NA,NA,"MESA COUNTY VALLEY 51"
2010,9,8.33333333333333,NA,9,"CREEDE SCHOOL DISTRICT"
2020,5.22222222222222,5.22222222222222,NA,5.22222222222222,"MOFFAT COUNTY RE:NO 1"
2035,5.15384615384615,5.38461538461539,NA,5.23076923076923,"MONTEZUMA-CORTEZ RE-1"
2055,7.33333333333333,6.66666666666667,7.33333333333333,7.33333333333333,"DOLORES RE-4A"
2070,7.33333333333333,7.66666666666667,7.66666666666667,7.33333333333333,"MANCOS RE-6"
2180,NA,NA,NA,NA,"MONTROSE COUNTY RE-1J"
2190,7.4,7.4,NA,7.6,"WEST END RE-2"
2395,6,5.66666666666667,5.66666666666667,5.66666666666667,"BRUSH RE-2(J)"
2405,5.83333333333333,5.66666666666667,NA,5.58333333333333,"FORT MORGAN RE-3"
2505,6.33333333333333,6.66666666666667,6,6.33333333333333,"WELDON VALLEY RE-20(J)"
2515,7,6.33333333333333,7.66666666666667,7.33333333333333,"WIGGINS RE-50(J)"
2520,5.33333333333333,5.33333333333333,5.33333333333333,5,"EAST OTERO R-1"
2530,3.33333333333333,2,3.33333333333333,4,"ROCKY FORD R-2"
2535,3.66666666666667,3.33333333333333,3,4,"MANZANOLA 3J"
2540,7.66666666666667,7.33333333333333,6.33333333333333,7,"FOWLER R-4J"
2560,6,5,7,6,"CHERAW 31"
2570,8,7.33333333333333,9.33333333333333,8.66666666666667,"SWINK 33"
2580,9.33333333333333,9.33333333333333,NA,9,"OURAY R-1"
2590,10,9.33333333333333,10.3333333333333,10.3333333333333,"RIDGWAY R-2"
2600,9,9,9.33333333333333,8.66666666666667,"PLATTE CANYON 1"
2610,NA,NA,NA,NA,"PARK COUNTY RE-2"
2620,5.66666666666667,5.66666666666667,6,5.33333333333333,"HOLYOKE RE-1J"
2630,8,6.66666666666667,6.33333333333333,8.33333333333333,"HAXTUN RE-2J"
2640,10,9.66666666666667,NA,10,"ASPEN 1"
2650,6.66666666666667,6,4.33333333333333,7,"GRANADA RE-1"
2660,6.4,6.2,6,6.4,"LAMAR RE-2"
2670,6,6,5.66666666666667,6,"HOLLY RE-3"
2680,6,6,6,6,"WILEY RE-13 JT"
2690,5.81818181818182,5.47727272727273,NA,6.18181818181818,"PUEBLO CITY 60"
2700,NA,NA,NA,NA,"PUEBLO COUNTY 70"
2710,6.25,6,6,6.25,"MEEKER RE1"
2720,6,6,5.5,6,"RANGELY RE-4"
2730,6,6.66666666666667,7,6.33333333333333,"DEL NORTE C-7"
2740,5.2,4.8,6,5.2,"MONTE VISTA C-8"
2750,8,6.66666666666667,8.33333333333333,8,"SARGENT RE-33J"
2760,5.66666666666667,7,5.66666666666667,5.66666666666667,"HAYDEN RE-1"
2770,10.5,10.1666666666667,NA,10.3333333333333,"STEAMBOAT SPRINGS RE-2"
2780,7,7,7,6.33333333333333,"SOUTH ROUTT RE 3"
2790,5.33333333333333,5.33333333333333,4.66666666666667,6,"MOUNTAIN VALLEY RE 1"
2800,6.5,6.16666666666667,NA,7.16666666666667,"MOFFAT 2"
2810,NA,NA,NA,NA,"CENTER 26 JT"
2820,6.33333333333333,6,NA,6.33333333333333,"SILVERTON 1"
2830,9.66666666666667,9.66666666666667,11.6666666666667,9,"TELLURIDE R-1"
2840,7.66666666666667,6.33333333333333,8,8,"NORWOOD R-2J"
2862,NA,NA,NA,NA,"JULESBURG RE-1"
2865,7.75,8,8.5,7.25,"PLATTE VALLEY RE-3"
3000,NA,NA,NA,NA,"SUMMIT RE-1"
3010,5.33333333333333,5,6.66666666666667,6,"CRIPPLE CREEK-VICTOR RE-1"
3020,7.1,6.8,7.7,7.5,"WOODLAND PARK RE-2"
3030,7,6,9.33333333333333,7.66666666666667,"AKRON R-1"
3040,8.66666666666667,9,NA,8.66666666666667,"ARICKAREE R-2"
3050,7,6.66666666666667,7.66666666666667,5.66666666666667,"OTIS R-3"
3060,6.75,7.75,NA,6.5,"LONE STAR 101"
3070,6.33333333333333,6.33333333333333,8.33333333333333,6.33333333333333,"WOODLIN R-104"
3080,5.33333333333333,4.83333333333333,6,5.16666666666667,"WELD COUNTY RE-1"
3085,8,8.5,7.75,8,"EATON RE-2"
3090,6.71428571428571,6.71428571428571,6.42857142857143,6.57142857142857,"KEENESBURG RE-3(J)"
3100,8.42857142857143,8.42857142857143,7.71428571428571,8.35714285714286,"WINDSOR RE-4"
3110,6.71428571428571,6,7.14285714285714,6.85714285714286,"JOHNSTOWN-MILLIKEN RE-5J"
3120,NA,NA,NA,NA,"GREELEY 6"
3130,6,6,6.5,6,"PLATTE VALLEY RE-7"
3140,4.5,5.25,4.75,3.5,"WELD COUNTY S/D RE-8"
3145,5.4,5.8,5.4,5.4,"AULT-HIGHLAND RE-9"
3146,8.33333333333333,7.66666666666667,10.3333333333333,8,"BRIGGSDALE RE-10"
3147,9,10,7.66666666666667,8.33333333333333,"PRAIRIE RE-11"
3148,9,7.66666666666667,9,9,"PAWNEE RE-12"
3200,5.75,6.25,NA,5.75,"YUMA 1"
3210,6.75,6.25,NA,6.25,"WRAY RD-2"
3220,5.66666666666667,6,4.66666666666667,5,"IDALIA RJ-3"
3230,5.66666666666667,6,NA,5,"LIBERTY J-4"
8001,7.35,6.675,NA,7.375,"CHARTER SCHOOL INSTITUTE"
9050,NA,NA,NA,NA,"SAN JUAN BOCES"
9130,7.66666666666667,7.33333333333333,9,7.66666666666667,"EXPEDITIONARY BOCES"
NA,NA,NA,NA,NA,NA
